,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,322,-11,-0xb,-185,-0xb9,,,+219,+0xdb,,,+297,+0x129
1,<<,323,-141,-0x8d,,,-247,-0xf7,+273,+0x111,+1031,+0x407,,
1,<<,324,-23,-0x17,-177,-0xb1,,,+397,+0x18d,+1027,+0x403,,
1,<<,325,-399,-0x18f,-433,-0x1b1,,,+137,+0x89,+315,+0x13b,,
1,<<,326,-101,-0x65,,,-215,-0xd7,+249,+0xf9,+967,+0x3c7,,
1,<<,327,-595,-0x253,-1077,-0x435,,,+9,+0x9,+1299,+0x513,,
1,<<,328,-155,-0x9b,-437,-0x1b5,,,+15,+0xf,,,+433,+0x1b1
1,<<,329,-139,-0x8b,-273,-0x111,,,+39,+0x27,,,+417,+0x1a1
1,<<,330,-255,-0xff,-437,-0x1b5,,,+93,+0x5d,+295,+0x127,,
1,<<,331,-61,-0x3d,,,-459,-0x1cb,+203,+0xcb,,,+489,+0x1e9
1,<<,332,-707,-0x2c3,-1077,-0x435,,,+393,+0x189,+435,+0x1b3,,
1,<<,333,-483,-0x1e3,-741,-0x2e5,,,+285,+0x11d,+939,+0x3ab,,
1,<<,334,-243,-0xf3,-981,-0x3d5,,,+507,+0x1fb,,,+1005,+0x3ed
1,<<,335,-321,-0x141,,,-511,-0x1ff,+173,+0xad,+183,+0xb7,,
1,<<,336,-3,-0x3,-17,-0x11,,,+241,+0xf1,+1215,+0x4bf,,
1,<<,337,-75,-0x4b,-1693,-0x69d,,,+71,+0x47,,,+105,+0x69
1,<<,338,-15,-0xf,-401,-0x191,,,+97,+0x61,+99,+0x63,,
1,<<,339,-147,-0x93,-865,-0x361,,,+185,+0xb9,+275,+0x113,,
1,<<,340,-293,-0x125,,,-299,-0x12b,+291,+0x123,,,+661,+0x295
1,<<,341,-229,-0xe5,,,-631,-0x277,+5,+0x5,+1815,+0x717,,
1,<<,342,-65,-0x41,,,-263,-0x107,+15,+0xf,,,+85,+0x55
1,<<,343,-199,-0xc7,-501,-0x1f5,,,+225,+0xe1,+903,+0x387,,
1,<<,344,-119,-0x77,-569,-0x239,,,+231,+0xe7,,,+1465,+0x5b9
1,<<,345,-475,-0x1db,-493,-0x1ed,,,+107,+0x6b,,,+1181,+0x49d
1,<<,346,-45,-0x2d,,,-363,-0x16b,+1039,+0x40f,,,+1053,+0x41d
1,<<,347,-211,-0xd3,-1065,-0x429,,,+441,+0x1b9,+491,+0x1eb,,
1,<<,348,-117,-0x75,,,-143,-0x8f,+241,+0xf1,+927,+0x39f,,
1,<<,349,-285,-0x11d,,,-579,-0x243,+377,+0x179,+1295,+0x50f,,
1,<<,350,-113,-0x71,,,-131,-0x83,+427,+0x1ab,,,+489,+0x1e9
1,<<,351,-61,-0x3d,,,-135,-0x87,+143,+0x8f,,,+345,+0x159
1,<<,352,-657,-0x291,,,-879,-0x36f,+55,+0x37,,,+81,+0x51
1,<<,353,-139,-0x8b,-489,-0x1e9,,,+141,+0x8d,+335,+0x14f,,
1,<<,354,-153,-0x99,,,-251,-0xfb,+805,+0x325,+1303,+0x517,,
1,<<,355,-49,-0x31,,,-2355,-0x933,+141,+0x8d,+435,+0x1b3,,
1,<<,356,-173,-0xad,,,-227,-0xe3,+691,+0x2b3,,,+945,+0x3b1
1,<<,357,-243,-0xf3,-541,-0x21d,,,+231,+0xe7,,,+449,+0x1c1
1,<<,358,-671,-0x29f,-1005,-0x3ed,,,+417,+0x1a1,+2055,+0x807,,
1,<<,359,-411,-0x19b,-901,-0x385,,,+23,+0x17,,,+141,+0x8d
1,<<,360,-719,-0x2cf,-1785,-0x6f9,,,+105,+0x69,+471,+0x1d7,,
1,<<,361,-369,-0x171,,,-663,-0x297,+281,+0x119,+407,+0x197,,
1,<<,362,-605,-0x25d,,,-663,-0x297,+705,+0x2c1,+1563,+0x61b,,
1,<<,363,-75,-0x4b,-97,-0x61,,,+309,+0x135,+555,+0x22b,,
1,<<,364,-923,-0x39b,-1653,-0x675,,,+867,+0x363,,,+1261,+0x4ed
1,<<,365,-169,-0xa9,,,-295,-0x127,+239,+0xef,,,+3021,+0xbcd
1,<<,366,-167,-0xa7,-657,-0x291,,,+309,+0x135,+375,+0x177,,
1,<<,367,-487,-0x1e7,-801,-0x321,,,+69,+0x45,+531,+0x213,,
1,<<,368,-315,-0x13b,-785,-0x311,,,+127,+0x7f,,,+265,+0x109
1,<<,369,-25,-0x19,,,-195,-0xc3,+65,+0x41,+575,+0x23f,,
1,<<,370,-495,-0x1ef,-813,-0x32d,,,+69,+0x45,+555,+0x22b,,
1,<<,371,-741,-0x2e5,,,-747,-0x2eb,+329,+0x149,+1595,+0x63b,,
1,<<,372,-177,-0xb1,,,-207,-0xcf,+147,+0x93,,,+717,+0x2cd
1,<<,373,-333,-0x14d,,,-735,-0x2df,+585,+0x249,+1047,+0x417,,
1,<<,374,-65,-0x41,,,-371,-0x173,+289,+0x121,+475,+0x1db,,
1,<<,375,-679,-0x2a7,-1089,-0x441,,,+81,+0x51,+171,+0xab,,
1,<<,376,-57,-0x39,,,-519,-0x207,+115,+0x73,,,+301,+0x12d
1,<<,377,-259,-0x103,-321,-0x141,,,+435,+0x1b3,,,+557,+0x22d
1,<<,378,-417,-0x1a1,,,-447,-0x1bf,+25,+0x19,+463,+0x1cf,,
1,<<,379,-19,-0x13,-925,-0x39d,,,+99,+0x63,,,+693,+0x2b5
1,<<,380,-65,-0x41,,,-483,-0x1e3,+127,+0x7f,,,+553,+0x229
1,<<,381,-313,-0x139,,,-735,-0x2df,+507,+0x1fb,,,+705,+0x2c1
1,<<,382,-105,-0x69,,,-227,-0xe3,+255,+0xff,,,+1117,+0x45d
1,<<,383,-31,-0x1f,-421,-0x1a5,,,+369,+0x171,+1971,+0x7b3,,
1,<<,384,-317,-0x13d,,,-2147,-0x863,+231,+0xe7,,,+417,+0x1a1
1,<<,385,-265,-0x109,,,-1215,-0x4bf,+189,+0xbd,+395,+0x18b,,
1,<<,386,-231,-0xe7,-881,-0x371,,,+235,+0xeb,,,+357,+0x165
1,<<,387,-615,-0x267,-621,-0x26d,,,+789,+0x315,+2195,+0x893,,
1,<<,388,-45,-0x2d,,,-63,-0x3f,+133,+0x85,+435,+0x1b3,,
1,<<,389,-21,-0x15,,,-51,-0x33,+89,+0x59,+539,+0x21b,,
1,<<,390,-137,-0x89,,,-383,-0x17f,+3,+0x3,,,+133,+0x85
1,<<,391,-105,-0x69,,,-127,-0x7f,+885,+0x375,+935,+0x3a7,,
1,<<,392,-107,-0x6b,-1389,-0x56d,,,+207,+0xcf,,,+517,+0x205
1,<<,393,-93,-0x5d,,,-331,-0x14b,+77,+0x4d,+291,+0x123,,
1,<<,394,-377,-0x179,,,-447,-0x1bf,+97,+0x61,+267,+0x10b,,
1,<<,395,-531,-0x213,-1137,-0x471,,,+29,+0x1d,+963,+0x3c3,,
1,<<,396,-605,-0x25d,,,-695,-0x2b7,+231,+0xe7,,,+253,+0xfd
1,<<,397,-81,-0x51,,,-463,-0x1cf,+387,+0x183,,,+629,+0x275
1,<<,398,-131,-0x83,-777,-0x309,,,+127,+0x7f,,,+1005,+0x3ed
1,<<,399,-91,-0x5b,-937,-0x3a9,,,+51,+0x33,,,+485,+0x1e5
1,<<,400,-593,-0x251,,,-663,-0x297,+181,+0xb5,+435,+0x1b3,,
1,<<,401,-31,-0x1f,-261,-0x105,,,+807,+0x327,,,+989,+0x3dd
1,<<,402,-53,-0x35,,,-1131,-0x46b,+505,+0x1f9,+1443,+0x5a3,,
1,<<,403,-379,-0x17b,-2841,-0xb19,,,+293,+0x125,+683,+0x2ab,,
1,<<,404,-257,-0x101,,,-395,-0x18b,+55,+0x37,,,+265,+0x109
1,<<,405,-235,-0xeb,-553,-0x229,,,+539,+0x21b,,,+789,+0x315
1,<<,406,-923,-0x39b,-1805,-0x70d,,,+129,+0x81,+583,+0x247,,
1,<<,407,-157,-0x9d,,,-171,-0xab,+309,+0x135,+659,+0x293,,
1,<<,408,-1005,-0x3ed,,,-1419,-0x58b,+37,+0x25,+231,+0xe7,,
1,<<,409,-103,-0x67,-585,-0x249,,,+29,+0x1d,+399,+0x18f,,
1,<<,410,-51,-0x33,-2057,-0x809,,,+33,+0x21,+375,+0x177,,
1,<<,411,-205,-0xcd,,,-339,-0x153,+63,+0x3f,,,+333,+0x14d
1,<<,412,-183,-0xb7,-473,-0x1d9,,,+67,+0x43,,,+385,+0x181
1,<<,413,-21,-0x15,,,-519,-0x207,+221,+0xdd,+411,+0x19b,,
1,<<,414,-17,-0x11,,,-35,-0x23,+315,+0x13b,,,+537,+0x219
1,<<,415,-45,-0x2d,,,-55,-0x37,+323,+0x143,,,+669,+0x29d
1,<<,416,-435,-0x1b3,-453,-0x1c5,,,+235,+0xeb,,,+921,+0x399
1,<<,417,-1029,-0x405,,,-1095,-0x447,+245,+0xf5,+495,+0x1ef,,
1,<<,418,-147,-0x93,-297,-0x129,,,+163,+0xa3,,,+937,+0x3a9
1,<<,419,-69,-0x45,,,-219,-0xdb,+299,+0x12b,,,+905,+0x389
1,<<,420,-317,-0x13d,,,-335,-0x14f,+45,+0x2d,+543,+0x21f,,
1,<<,421,-271,-0x10f,-1005,-0x3ed,,,+105,+0x69,+1635,+0x663,,
1,<<,422,-101,-0x65,,,-791,-0x317,+163,+0xa3,,,+273,+0x111
1,<<,423,-91,-0x5b,-885,-0x375,,,+309,+0x135,+459,+0x1cb,,
1,<<,424,-389,-0x185,,,-963,-0x3c3,+163,+0xa3,,,+637,+0x27d
1,<<,425,-301,-0x12d,,,-379,-0x17b,+57,+0x39,+387,+0x183,,
1,<<,426,-321,-0x141,,,-1067,-0x42b,+423,+0x1a7,,,+1725,+0x6bd
1,<<,427,-781,-0x30d,,,-1075,-0x433,+69,+0x45,+183,+0xb7,,
1,<<,428,-65,-0x41,,,-387,-0x183,+345,+0x159,+651,+0x28b,,
1,<<,429,-55,-0x37,-1033,-0x409,,,+131,+0x83,,,+921,+0x399
1,<<,430,-677,-0x2a5,,,-1023,-0x3ff,+73,+0x49,+2535,+0x9e7,,
1,<<,431,-201,-0xc9,,,-1759,-0x6df,+173,+0xad,+791,+0x317,,
1,<<,432,-299,-0x12b,-633,-0x279,,,+1093,+0x445,+1387,+0x56b,,
1,<<,433,-601,-0x259,,,-1743,-0x6cf,+335,+0x14f,,,+629,+0x275
1,<<,434,-183,-0xb7,-201,-0xc9,,,+103,+0x67,,,+553,+0x229
1,<<,435,-97,-0x61,,,-387,-0x183,+561,+0x231,+1023,+0x3ff,,
1,<<,436,-87,-0x57,-117,-0x75,,,+295,+0x127,,,+337,+0x151
1,<<,437,-93,-0x5d,,,-1779,-0x6f3,+117,+0x75,+1031,+0x407,,
1,<<,438,-417,-0x1a1,,,-563,-0x233,+25,+0x19,+1183,+0x49f,,
1,<<,439,-151,-0x97,-169,-0xa9,,,+101,+0x65,+543,+0x21f,,
1,<<,440,-33,-0x21,,,-1287,-0x507,+187,+0xbb,,,+853,+0x355
1,<<,441,-361,-0x169,,,-555,-0x22b,+227,+0xe3,,,+257,+0x101
1,<<,442,-995,-0x3e3,-2481,-0x9b1,,,+189,+0xbd,+559,+0x22f,,
1,<<,443,-685,-0x2ad,,,-819,-0x333,+53,+0x35,+743,+0x2e7,,
1,<<,444,-17,-0x11,,,-675,-0x2a3,+267,+0x10b,,,+913,+0x391
1,<<,445,-195,-0xc3,-501,-0x1f5,,,+41,+0x29,+95,+0x5f,,
1,<<,446,-77,-0x4d,,,-611,-0x263,+33,+0x21,+435,+0x1b3,,
1,<<,447,-325,-0x145,,,-1279,-0x4ff,+99,+0x63,,,+1341,+0x53d
1,<<,448,-203,-0xcb,-825,-0x339,,,+211,+0xd3,,,+597,+0x255
1,<<,449,-241,-0xf1,,,-559,-0x22f,+459,+0x1cb,,,+869,+0x365
1,<<,450,-501,-0x1f5,,,-1083,-0x43b,+213,+0xd5,+487,+0x1e7,,
1,<<,451,-2239,-0x8bf,-2245,-0x8c5,,,+23,+0x17,,,+165,+0xa5
1,<<,452,-3,-0x3,-2229,-0x8b5,,,+37,+0x25,+807,+0x327,,
1,<<,453,-285,-0x11d,,,-975,-0x3cf,+89,+0x59,+791,+0x317,,
1,<<,454,-57,-0x39,,,-63,-0x3f,+375,+0x177,,,+433,+0x1b1
1,<<,455,-217,-0xd9,,,-1111,-0x457,+105,+0x69,+791,+0x317,,
1,<<,456,-627,-0x273,-2037,-0x7f5,,,+21,+0x15,+243,+0xf3,,
1,<<,457,-273,-0x111,,,-1975,-0x7b7,+519,+0x207,,,+2561,+0xa01
1,<<,458,-57,-0x39,,,-1703,-0x6a7,+127,+0x7f,,,+1729,+0x6c1
1,<<,459,-549,-0x225,,,-1239,-0x4d7,+101,+0x65,+371,+0x173,,
1,<<,460,-77,-0x4d,,,-147,-0x93,+1257,+0x4e9,+1563,+0x61b,,
1,<<,461,-649,-0x289,,,-1071,-0x42f,+321,+0x141,+1247,+0x4df,,
1,<<,462,-195,-0xc3,-513,-0x201,,,+567,+0x237,,,+1065,+0x429
1,<<,463,-157,-0x9d,,,-1315,-0x523,+81,+0x51,+479,+0x1df,,
1,<<,464,-437,-0x1b5,,,-495,-0x1ef,+841,+0x349,+1995,+0x7cb,,
1,<<,465,-819,-0x333,-1125,-0x465,,,+29,+0x1d,+1271,+0x4f7,,
1,<<,466,-813,-0x32d,,,-1287,-0x507,+423,+0x1a7,,,+1149,+0x47d
1,<<,467,-511,-0x1ff,-721,-0x2d1,,,+329,+0x149,+683,+0x2ab,,
1,<<,468,-17,-0x11,,,-167,-0xa7,+765,+0x2fd,+1363,+0x553,,
1,<<,469,-283,-0x11b,-1065,-0x429,,,+879,+0x36f,,,+1329,+0x531
1,<<,470,-35,-0x23,-945,-0x3b1,,,+99,+0x63,,,+937,+0x3a9
1,<<,471,-147,-0x93,-2617,-0xa39,,,+659,+0x293,,,+1041,+0x411
1,<<,472,-209,-0xd1,,,-539,-0x21b,+445,+0x1bd,+723,+0x2d3,,
1,<<,473,-579,-0x243,-589,-0x24d,,,+149,+0x95,+327,+0x147,,
1,<<,474,-135,-0x87,-1073,-0x431,,,+309,+0x135,+1383,+0x567,,
1,<<,475,-129,-0x81,,,-379,-0x17b,+1235,+0x4d3,,,+1593,+0x639
1,<<,476,-153,-0x99,,,-155,-0x9b,+223,+0xdf,,,+397,+0x18d
1,<<,477,-123,-0x7b,-313,-0x139,,,+315,+0x13b,,,+1257,+0x4e9
1,<<,478,-95,-0x5f,-341,-0x155,,,+583,+0x247,,,+1477,+0x5c5
1,<<,479,-537,-0x219,,,-2059,-0x80b,+221,+0xdd,+519,+0x207,,
1,<<,480,-47,-0x2f,-797,-0x31d,,,+165,+0xa5,+891,+0x37b,,
1,<<,481,-273,-0x111,,,-411,-0x19b,+65,+0x41,+1031,+0x407,,
1,<<,482,-275,-0x113,-945,-0x3b1,,,+475,+0x1db,,,+589,+0x24d
1,<<,483,-301,-0x12d,,,-759,-0x2f7,+329,+0x149,+1319,+0x527,,
1,<<,484,-39,-0x27,-117,-0x75,,,+333,+0x14d,+1243,+0x4db,,
1,<<,485,-1399,-0x577,-1569,-0x621,,,+165,+0xa5,+1247,+0x4df,,
1,<<,486,-143,-0x8f,-1973,-0x7b5,,,+207,+0xcf,,,+345,+0x159
1,<<,487,-57,-0x39,,,-339,-0x153,+443,+0x1bb,,,+749,+0x2ed
1,<<,488,-17,-0x11,,,-779,-0x30b,+777,+0x309,+907,+0x38b,,
1,<<,489,-21,-0x15,,,-115,-0x73,+179,+0xb3,,,+345,+0x159
1,<<,490,-917,-0x395,,,-1383,-0x567,+655,+0x28f,,,+1369,+0x559
1,<<,491,-75,-0x4b,-97,-0x61,,,+813,+0x32d,+1443,+0x5a3,,
1,<<,492,-129,-0x81,,,-1715,-0x6b3,+21,+0x15,+247,+0xf7,,
1,<<,493,-433,-0x1b1,,,-439,-0x1b7,+549,+0x225,+2939,+0xb7b,,
1,<<,494,-125,-0x7d,,,-887,-0x377,+375,+0x177,,,+1365,+0x555
1,<<,495,-31,-0x1f,-909,-0x38d,,,+51,+0x33,,,+1533,+0x5fd
1,<<,496,-257,-0x101,,,-1287,-0x507,+583,+0x247,,,+861,+0x35d
1,<<,497,-1291,-0x50b,-1441,-0x5a1,,,+159,+0x9f,,,+245,+0xf5
1,<<,498,-563,-0x233,-1085,-0x43d,,,+375,+0x177,,,+409,+0x199
1,<<,499,-151,-0x97,-1305,-0x519,,,+161,+0xa1,+855,+0x357,,
1,<<,500,-863,-0x35f,-1485,-0x5cd,,,+55,+0x37,,,+321,+0x141
1,<<,501,-45,-0x2d,,,-91,-0x5b,+519,+0x207,,,+641,+0x281
1,<<,502,-671,-0x29f,-3497,-0xda9,,,+49,+0x31,+135,+0x87,,
1,<<,503,-91,-0x5b,-829,-0x33d,,,+165,+0xa5,+555,+0x22b,,
1,<<,504,-503,-0x1f7,-1713,-0x6b1,,,+133,+0x85,+715,+0x2cb,,
1,<<,505,-91,-0x5b,-1069,-0x42d,,,+51,+0x33,,,+377,+0x179
1,<<,506,-45,-0x2d,,,-243,-0xf3,+559,+0x22f,,,+1909,+0x775
1,<<,507,-265,-0x109,,,-627,-0x273,+351,+0x15f,,,+1209,+0x4b9
1,<<,508,-243,-0xf3,-873,-0x369,,,+15,+0xf,,,+1233,+0x4d1
1,<<,509,-741,-0x2e5,,,-1335,-0x537,+35,+0x23,,,+281,+0x119
1,<<,510,-75,-0x4b,-357,-0x165,,,+15,+0xf,,,+37,+0x25
1,<<,511,-187,-0xbb,-481,-0x1e1,,,+111,+0x6f,,,+809,+0x329
1,<<,512,-569,-0x239,,,-875,-0x36b,+75,+0x4b,,,+145,+0x91
1,<<,513,-445,-0x1bd,,,-879,-0x36f,+159,+0x9f,,,+261,+0x105
1,<<,514,-767,-0x2ff,-1145,-0x479,,,+169,+0xa9,+255,+0xff,,
1,<<,515,-225,-0xe1,,,-771,-0x303,+15,+0xf,,,+561,+0x231
1,<<,516,-689,-0x2b1,,,-723,-0x2d3,+121,+0x79,+303,+0x12f,,
1,<<,517,-489,-0x1e9,,,-759,-0x2f7,+357,+0x165,+611,+0x263,,
1,<<,518,-917,-0x395,,,-1151,-0x47f,+37,+0x25,+99,+0x63,,
1,<<,519,-91,-0x5b,-1017,-0x3f9,,,+393,+0x189,+1263,+0x4ef,,
1,<<,520,-383,-0x17f,-777,-0x309,,,+513,+0x201,+783,+0x30f,,
1,<<,521,-1,-0x1,,,-115,-0x73,+887,+0x377,,,+2001,+0x7d1
1,<<,522,-117,-0x75,,,-915,-0x393,+345,+0x159,+1579,+0x62b,,
1,<<,523,-1267,-0x4f3,-1417,-0x589,,,+375,+0x177,,,+1493,+0x5d5
1,<<,524,-465,-0x1d1,,,-927,-0x39f,+117,+0x75,+427,+0x1ab,,
1,<<,525,-363,-0x16b,-625,-0x271,,,+731,+0x2db,,,+981,+0x3d5
1,<<,526,-363,-0x16b,-497,-0x1f1,,,+697,+0x2b9,+1647,+0x66f,,
1,<<,527,-1017,-0x3f9,,,-1311,-0x51f,+249,+0xf9,+755,+0x2f3,,
1,<<,528,-65,-0x41,,,-303,-0x12f,+381,+0x17d,+555,+0x22b,,
1,<<,529,-31,-0x1f,-309,-0x135,,,+69,+0x45,+567,+0x237,,
1,<<,530,-1017,-0x3f9,,,-1575,-0x627,+189,+0xbd,+943,+0x3af,,
1,<<,531,-315,-0x13b,-525,-0x20d,,,+375,+0x177,,,+813,+0x32d
1,<<,532,-335,-0x14f,-1965,-0x7ad,,,+123,+0x7b,,,+541,+0x21d
1,<<,533,-153,-0x99,,,-159,-0x9f,+279,+0x117,,,+1121,+0x461
1,<<,534,-521,-0x209,,,-1263,-0x4ef,+675,+0x2a3,,,+1485,+0x5cd
1,<<,535,-367,-0x16f,-405,-0x195,,,+83,+0x53,,,+741,+0x2e5
1,<<,536,-149,-0x95,,,-1359,-0x54f,+37,+0x25,+403,+0x193,,
1,<<,537,-9,-0x9,,,-751,-0x2ef,+701,+0x2bd,+1439,+0x59f,,
1,<<,538,-53,-0x35,,,-71,-0x47,+87,+0x57,,,+213,+0xd5
1,<<,539,-615,-0x267,-2077,-0x81d,,,+119,+0x77,,,+393,+0x189
1,<<,540,-335,-0x14f,-2733,-0xaad,,,+31,+0x1f,,,+421,+0x1a5
1,<<,541,-81,-0x51,,,-339,-0x153,+729,+0x2d9,+1479,+0x5c7,,
1,<<,542,-611,-0x263,-621,-0x26d,,,+93,+0x5d,+175,+0xaf,,
1,<<,543,-157,-0x9d,,,-427,-0x1ab,+989,+0x3dd,+1023,+0x3ff,,
1,<<,544,-759,-0x2f7,-1065,-0x429,,,+163,+0xa3,,,+477,+0x1dd
1,<<,545,-3,-0x3,-793,-0x319,,,+845,+0x34d,+1551,+0x60f,,
1,<<,546,-11,-0xb,-1497,-0x5d9,,,+15,+0xf,,,+393,+0x189
1,<<,547,-537,-0x219,,,-1875,-0x753,+809,+0x329,+1703,+0x6a7,,
1,<<,548,-749,-0x2ed,,,-1055,-0x41f,+453,+0x1c5,+775,+0x307,,
1,<<,549,-625,-0x271,,,-1479,-0x5c7,+261,+0x105,+435,+0x1b3,,
1,<<,550,-5,-0x5,,,-227,-0xe3,+1005,+0x3ed,+1399,+0x577,,
1,<<,551,-231,-0xe7,-1485,-0x5cd,,,+335,+0x14f,,,+1061,+0x425
1,<<,552,-503,-0x1f7,-725,-0x2d5,,,+81,+0x51,+487,+0x1e7,,
1,<<,553,-441,-0x1b9,,,-603,-0x25b,+549,+0x225,+587,+0x24b,,
1,<<,554,-567,-0x237,-597,-0x255,,,+417,+0x1a1,+739,+0x2e3,,
1,<<,555,-595,-0x253,-937,-0x3a9,,,+345,+0x159,+1439,+0x59f,,
1,<<,556,-1295,-0x50f,-1845,-0x735,,,+63,+0x3f,,,+813,+0x32d
1,<<,557,-339,-0x153,-805,-0x325,,,+357,+0x165,+467,+0x1d3,,
1,<<,558,-261,-0x105,,,-843,-0x34b,+33,+0x21,+39,+0x27,,
1,<<,559,-411,-0x19b,-1405,-0x57d,,,+153,+0x99,+231,+0xe7,,
1,<<,560,-717,-0x2cd,,,-1899,-0x76b,+211,+0xd3,,,+1833,+0x729
1,<<,561,-153,-0x99,,,-2755,-0xac3,+701,+0x2bd,+2567,+0xa07,,
1,<<,562,-743,-0x2e7,-1053,-0x41d,,,+45,+0x2d,+147,+0x93,,
1,<<,563,-9,-0x9,,,-55,-0x37,+459,+0x1cb,,,+2765,+0xacd
1,<<,564,-95,-0x5f,-345,-0x159,,,+115,+0x73,,,+253,+0xfd
1,<<,565,-45,-0x2d,,,-403,-0x193,+669,+0x29d,+3611,+0xe1b,,
1,<<,566,-113,-0x71,,,-243,-0xf3,+427,+0x1ab,,,+445,+0x1bd
1,<<,567,-297,-0x129,,,-1507,-0x5e3,+1163,+0x48b,,,+2469,+0x9a5
1,<<,568,-645,-0x285,,,-1023,-0x3ff,+51,+0x33,,,+2881,+0xb41
1,<<,569,-199,-0xc7,-841,-0x349,,,+369,+0x171,+1499,+0x5db,,
1,<<,570,-261,-0x105,,,-555,-0x22b,+25,+0x19,+927,+0x39f,,
1,<<,571,-369,-0x171,,,-1699,-0x6a3,+71,+0x47,,,+221,+0xdd
1,<<,572,-275,-0x113,-4149,-0x1035,,,+57,+0x39,+555,+0x22b,,
1,<<,573,-193,-0xc1,,,-243,-0xf3,+11,+0xb,,,+81,+0x51
1,<<,574,-105,-0x69,,,-143,-0x8f,+129,+0x81,+2787,+0xae3,,
1,<<,575,-1057,-0x421,,,-2407,-0x967,+131,+0x83,,,+285,+0x11d
1,<<,576,-789,-0x315,,,-947,-0x3b3,+243,+0xf3,,,+1017,+0x3f9
1,<<,577,-81,-0x51,,,-511,-0x1ff,+489,+0x1e9,+611,+0x263,,
1,<<,578,-483,-0x1e3,-1533,-0x5fd,,,+177,+0xb1,+1107,+0x453,,
1,<<,579,-91,-0x5b,-2001,-0x7d1,,,+333,+0x14d,+563,+0x233,,
1,<<,580,-57,-0x39,,,-735,-0x2df,+133,+0x85,+1203,+0x4b3,,
1,<<,581,-295,-0x127,-885,-0x375,,,+321,+0x141,+399,+0x18f,,
1,<<,582,-231,-0xe7,-1865,-0x749,,,+135,+0x87,,,+717,+0x2cd
1,<<,583,-27,-0x1b,-81,-0x51,,,+629,+0x275,+779,+0x30b,,
1,<<,584,-195,-0xc3,-777,-0x309,,,+253,+0xfd,+783,+0x30f,,
1,<<,585,-81,-0x51,,,-315,-0x13b,+407,+0x197,,,+477,+0x1dd
1,<<,586,-201,-0xc9,,,-2771,-0xad3,+73,+0x49,+639,+0x27f,,
1,<<,587,-285,-0x11d,,,-387,-0x183,+303,+0x12f,,,+1349,+0x545
1,<<,588,-513,-0x201,,,-875,-0x36b,+7,+0x7,,,+1941,+0x795
1,<<,589,-181,-0xb5,,,-715,-0x2cb,+405,+0x195,+735,+0x2df,,
1,<<,590,-773,-0x305,,,-3531,-0xdcb,+445,+0x1bd,+639,+0x27f,,
1,<<,591,-291,-0x123,-549,-0x225,,,+1335,+0x537,,,+4005,+0xfa5
1,<<,592,-935,-0x3a7,-1257,-0x4e9,,,+87,+0x57,,,+333,+0x14d
1,<<,593,-363,-0x16b,-405,-0x195,,,+405,+0x195,+1371,+0x55b,,
1,<<,594,-165,-0xa5,,,-167,-0xa7,+315,+0x13b,,,+1053,+0x41d
1,<<,595,-81,-0x51,,,-735,-0x2df,+575,+0x23f,,,+1353,+0x549
1,<<,596,-117,-0x75,,,-2159,-0x86f,+67,+0x43,,,+313,+0x139
1,<<,597,-591,-0x24f,-1125,-0x465,,,+159,+0x9f,,,+509,+0x1fd
1,<<,598,-587,-0x24b,-1637,-0x665,,,+279,+0x117,,,+1717,+0x6b5
1,<<,599,-91,-0x5b,-1345,-0x541,,,+323,+0x143,,,+953,+0x3b9
1,<<,600,-95,-0x5f,-149,-0x95,,,+187,+0xbb,,,+721,+0x2d1
1,<<,601,-229,-0xe5,,,-595,-0x253,+51,+0x33,,,+1245,+0x4dd
1,<<,602,-75,-0x4b,-1197,-0x4ad,,,+265,+0x109,+715,+0x2cb,,
1,<<,603,-1137,-0x471,,,-2379,-0x94b,+129,+0x81,+1239,+0x4d7,,
1,<<,604,-585,-0x249,,,-2127,-0x84f,+337,+0x151,+1603,+0x643,,
1,<<,605,-519,-0x207,-733,-0x2dd,,,+77,+0x4d,+231,+0xe7,,
1,<<,606,-153,-0x99,,,-1355,-0x54b,+477,+0x1dd,+3327,+0xcff,,
1,<<,607,-1,-0x1,,,-967,-0x3c7,+485,+0x1e5,+683,+0x2ab,,
1,<<,608,-527,-0x20f,-825,-0x339,,,+253,+0xfd,+1035,+0x40b,,
1,<<,609,-1125,-0x465,,,-2991,-0xbaf,+369,+0x171,+1695,+0x69f,,
1,<<,610,-27,-0x1b,-5141,-0x1415,,,+7,+0x7,,,+2289,+0x8f1
1,<<,611,-187,-0xbb,-217,-0xd9,,,+261,+0x105,+2843,+0xb1b,,
1,<<,612,-683,-0x2ab,-1253,-0x4e5,,,+297,+0x129,+795,+0x31b,,
1,<<,613,-381,-0x17d,,,-931,-0x3a3,+417,+0x1a1,+1007,+0x3ef,,
1,<<,614,-297,-0x129,,,-1587,-0x633,+933,+0x3a5,+1219,+0x4c3,,
1,<<,615,-201,-0xc9,,,-627,-0x273,+119,+0x77,,,+2105,+0x839
1,<<,616,-459,-0x1cb,-1193,-0x4a9,,,+175,+0xaf,,,+241,+0xf1
1,<<,617,-199,-0xc7,-213,-0xd5,,,+599,+0x257,,,+1077,+0x435
1,<<,618,-2487,-0x9b7,-2813,-0xafd,,,+267,+0x10b,,,+873,+0x369
